old                                      new
09fdd678513c08b6fa5b92991adaf50dc9ac3246 b9b51ddee6483e7ed0a4558764c6d9e673407d72
0a47359463b2396f380082d2f7e1bcb4e4c6a0ae 0a47359463b2396f380082d2f7e1bcb4e4c6a0ae
0c02a987e8d45fa5a962657026d2939c36a217e7 0c02a987e8d45fa5a962657026d2939c36a217e7
12d5839b41cbb80d92753f6c0edc3e67cba2d3eb 12d5839b41cbb80d92753f6c0edc3e67cba2d3eb
13b2496698f601f77d5bf5d82716457bafcdeebd 8a17ab90e97c1583884ef2eee7264135e8643cb5
18336ae297cadf650730bbaa81160a520ca3f775 63311e99cc4a0c98066196326c32514e27eb1f6a
186dbeffb6d11a387041768d75574c5f19836e66 186dbeffb6d11a387041768d75574c5f19836e66
1a01fcc99303cdf4aa42b4526d603f01a2a28148 db1e4e87733fd1c4512fc41b1ec121699338ddc9
1b356c3f4bbcccce5a457194974fb0cc8b8fa6f2 1b356c3f4bbcccce5a457194974fb0cc8b8fa6f2
1b9cc44ee08c2e98ea146bd4cac22b1c17593ce5 1b9cc44ee08c2e98ea146bd4cac22b1c17593ce5
1c601ae7d28eae34c5fa6707862ee558321d30a0 1c601ae7d28eae34c5fa6707862ee558321d30a0
1f95a66677061bbda067fa79eb411aa02fd25157 1f95a66677061bbda067fa79eb411aa02fd25157
211fcd8ebbe1b3b9ec3c9d3e6bf6d99c7931ee79 37687b6c4b3e4c3a44ae5370151402a10e6eb54a
23e412d0a7bdf22512d06ddf1f172e798756f788 23e412d0a7bdf22512d06ddf1f172e798756f788
2c621af17f794d7207e01b1490262611380986bd 2c621af17f794d7207e01b1490262611380986bd
304052e9ba58772ea171d5631657762339bcbdc3 304052e9ba58772ea171d5631657762339bcbdc3
3832861e76b54016c752b96293e77ca9f82a1781 3832861e76b54016c752b96293e77ca9f82a1781
390ad661439c0fbf87657d96b3a60c9d879b8433 390ad661439c0fbf87657d96b3a60c9d879b8433
3b92f6936a52054f2f214e81aa1fc2a1dc408bde 3b92f6936a52054f2f214e81aa1fc2a1dc408bde
3faffa191c7cb56f66d62c6348a3a58d3e5b10d0 7cc70300863590066cc6e9f9ccdc76d7d6a12d01
404cc75f6f1ba7eb3a395bece5729aa3a9084e68 404cc75f6f1ba7eb3a395bece5729aa3a9084e68
409f6c4081b4c8c7acc76fead5a584bcb1c0c870 409f6c4081b4c8c7acc76fead5a584bcb1c0c870
41af1b128f12540a14bf990586a3aec93057a96c 2a1c17ec828b628c847121517a3aba9792ad28fc
44a3dcdb3f7c896edf68848c05a2d11fc9380eed ddc7eda0409584d2575705aec477ca1ca8168f8e
4855be969cda0e75f015844abc0529c7b9e5fa58 4855be969cda0e75f015844abc0529c7b9e5fa58
4909b6a5245392fd6ad2d1c5e716b62e40752403 d2c45dce0349268c1cd36ee4a30fc39a75210572
497e7ec02c71c011baf6c589454dfa26afde98e7 497e7ec02c71c011baf6c589454dfa26afde98e7
4cb0047fded734071ca2933285fc1d93aa24a5d2 4cb0047fded734071ca2933285fc1d93aa24a5d2
4d85d63af8ce8ebdc828cf3df6122a95b5e2a8d9 4d85d63af8ce8ebdc828cf3df6122a95b5e2a8d9
5843479125131b0e941cdb3d813324b0847a5af5 5843479125131b0e941cdb3d813324b0847a5af5
5c114ab56e4f2cfd8059b2a3e344af5b38002b66 b0aa5feef04f301f6aaa33a4ad4f538a64d4b118
63665bc6c5a9ef5189314eb4f74c80473477fd37 63665bc6c5a9ef5189314eb4f74c80473477fd37
6747fb3a5e873a4d2aa89c6aacd6ee001ab20a55 35756e6ace45265d67884ff05c8fe792b2a7f79d
68b7daa8e60787aafb35f11f47a9d416ecedc1b8 0a1ce1ef4ffba6d762c50fc9bdce52d1a0566be5
6a2c5e94767728eec9db1592ac69663c597815b3 f7ea0a650eafc8b9b059df8e5aad1f3d14d1e84c
6b634117f6844e0b877743cea5518ba04c510e7b 25b98705c93e72933c0b9a323acd043033a58125
6bd83e4f9b2cee11a77419e02b124c599dce13c2 daf573ce721b81cc040740c3fcbcaada3e4235a0
6c02dda581b4a8272497603cc69f040d6e6b9089 6c02dda581b4a8272497603cc69f040d6e6b9089
72df221ccdc7fd25af0ba28999c209cd05813e83 72df221ccdc7fd25af0ba28999c209cd05813e83
787e2d3b907962b2107cf4c56784d2c467e8edc7 787e2d3b907962b2107cf4c56784d2c467e8edc7
793a1b2816f3aebc71e6a4f3bc97a4e2a26bd4b7 793a1b2816f3aebc71e6a4f3bc97a4e2a26bd4b7
79fb4a16c96f8ee560bbdce6bd034031c7818de1 79fb4a16c96f8ee560bbdce6bd034031c7818de1
7e6be2faa30b15e34d98ff46ea112997160e77b3 41e5f0304e4e1c1b256bcae73a28caa0d17f41d1
7ea247c693d305b2fbe8e64ef11c92015d8fbcef 16b1179dd3c58cd2c5669f5604660b2fd46bc26b
8357906289af933a481efc41f3ad3b330827ddf3 8357906289af933a481efc41f3ad3b330827ddf3
8526f5e520efc78d4f4967708d92f9340d192ee7 8526f5e520efc78d4f4967708d92f9340d192ee7
8839c91cb7458e3a9024ae51f9f2e1c716d6991f 8839c91cb7458e3a9024ae51f9f2e1c716d6991f
88cb11b84200fc68e7d149a632a88a98ad99b4ad 88cb11b84200fc68e7d149a632a88a98ad99b4ad
893bca5508c40787b3a74a7ae4aad16d1b5751f6 893bca5508c40787b3a74a7ae4aad16d1b5751f6
89e5a1d85054810a16941e9105d539fb29fb2d36 c8c50e033ec6d1350e8cce2bea74705f46b01434
